accel_value,speed,timestamp
0,1,2024-04-12 07:47:19.570578+00:00
0,1,2024-04-12 07:47:20.336575+00:00
0,0,2024-04-12 07:47:21.259607+00:00
0,0,2024-04-12 07:47:22.399431+00:00
0,0,2024-04-12 07:47:23.306410+00:00
0,0,2024-04-12 07:47:24.234842+00:00
0,0,2024-04-12 07:47:25.254048+00:00
0,0,2024-04-12 07:47:26.287810+00:00
0,0,2024-04-12 07:47:27.300191+00:00
0,0,2024-04-12 07:47:28.424799+00:00
0,0,2024-04-12 07:47:29.251917+00:00
0,0,2024-04-12 07:47:30.260805+00:00
0,0,2024-04-12 07:47:31.294444+00:00
0,0,2024-04-12 07:47:32.323198+00:00
0,0,2024-04-12 07:47:33.241882+00:00
0,0,2024-04-12 07:47:34.264408+00:00
0,0,2024-04-12 07:47:35.493514+00:00
0,0,2024-04-12 07:47:36.419083+00:00
0,0,2024-04-12 07:47:37.439282+00:00
0,0,2024-04-12 07:47:38.257457+00:00
0,0,2024-04-12 07:47:39.284498+00:00
0,0,2024-04-12 07:47:40.304679+00:00
